"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","gene_name","status"
11328.5634193129,1.97576885926582,0.0983329230622721,5.25626474321124e-91,8.91515063096059e-87,"ENSG00000204287.14","HLA-DRA","up_regulated"
2540.21865442757,2.39043316177283,0.129261961167969,1.41583928762171e-77,8.00468338578395e-74,"ENSG00000223865.11","HLA-DPB1","up_regulated"
4753.11819760245,1.95976829567438,0.107491368237453,1.81719345953379e-75,7.70535456678813e-72,"ENSG00000231389.7","HLA-DPA1","up_regulated"
274.509745131988,3.74003332399993,0.208312633698251,5.4955765532968e-73,1.86420947840934e-69,"ENSG00000148344.11","PTGES","up_regulated"
541.343109818261,2.07329956992446,0.122529631433666,2.0242991188175e-65,5.72235622571059e-62,"ENSG00000179344.16","HLA-DQB1","up_regulated"
6081.32428314578,1.86649717862342,0.117668883304027,6.87150960018969e-58,1.66496677612596e-54,"ENSG00000196126.11","HLA-DRB1","up_regulated"
521.638205846397,2.51199912349226,0.163028517167718,7.01205951068257e-55,1.48664426700859e-51,"ENSG00000196735.13","HLA-DQA1","up_regulated"
634.241181655872,1.98036722747279,0.134300932749269,2.08055646399751e-50,3.52883181858618e-47,"ENSG00000198502.6","HLA-DRB5","up_regulated"
5348.89713665725,1.22493903202245,0.088529928287667,6.89024065008151e-45,1.0624124696912e-41,"ENSG00000087245.13","MMP2","up_regulated"
5829.27500295249,1.64611859752024,0.12069651664763,1.42813810265091e-43,2.01855419658851e-40,"ENSG00000161091.13","MFSD12","up_regulated"
16332.9476736569,1.67901537684852,0.127644757750922,1.14088340326323e-40,1.48850180021136e-37,"ENSG00000019582.15","CD74","up_regulated"
847.40750382883,2.2303604694073,0.173548541876637,4.91251411513749e-39,5.95151085048907e-36,"ENSG00000242574.9","HLA-DMB","up_regulated"
1271.57762934308,3.08013840242971,0.240785681487054,9.16196814819611e-39,1.01859095669478e-35,"ENSG00000163235.16","TGFA","up_regulated"
2483.12287575669,1.8028263301631,0.141210950182425,1.48811081963378e-38,1.48469691834168e-35,"ENSG00000179583.19","CIITA","up_regulated"
433.129971533344,1.46730766413479,0.123694340498077,1.21475081076571e-33,9.81113738161773e-31,"ENSG00000185634.12","SHC4","up_regulated"
198.584538534175,1.87933326578269,0.159726512302706,3.54619552209512e-33,2.73395555682979e-30,"ENSG00000279208.1","CR381653.2","up_regulated"
1781.18407702526,1.8667741498372,0.159666965295306,8.22438769516321e-33,6.06494955207232e-30,"ENSG00000204257.15","HLA-DMA","up_regulated"
3998.06976528858,1.13820273316439,0.0998891494294072,1.01710915672525e-30,6.38932903970996e-28,"ENSG00000204592.9","HLA-E","up_regulated"
214.200460945355,1.80874594751307,0.160466156522248,1.0603289287712e-30,6.42294248603157e-28,"ENSG00000082074.19","FYB1","up_regulated"
102.032604623931,2.09465227296584,0.197758016102698,2.05320386190133e-27,1.16081302339028e-24,"ENSG00000102057.10","KCND1","up_regulated"
441.30219090973,1.70049016510697,0.168228070156918,3.15827540610626e-25,1.62325785342328e-22,"ENSG00000229391.7","HLA-DRB6","up_regulated"
963.005562219972,1.8285825410959,0.184245778252244,1.81542818607022e-24,9.05631690115793e-22,"ENSG00000162496.9","DHRS3","up_regulated"
283.633431364541,1.19445949804534,0.12152622781984,6.13165663442871e-24,2.73681653096172e-21,"ENSG00000165617.15","DACT1","up_regulated"
212.979162297212,2.18477462322514,0.223485784446563,8.0476727577634e-24,3.49991224729295e-21,"ENSG00000120738.8","EGR1","up_regulated"
1325.89031253922,1.28559825913728,0.131506444532096,9.45129141902998e-24,4.00758384395419e-21,"ENSG00000063438.19","AHRR","up_regulated"
201.653116775423,2.14323394493051,0.219693496153668,1.10801743596426e-23,4.58367895887554e-21,"ENSG00000248993.1","AL645941.2","up_regulated"
216.892860181913,1.63295999836376,0.167983349432331,1.48328644902227e-23,5.85070266555038e-21,"ENSG00000011105.14","TSPAN9","up_regulated"
102.096050981079,3.19565698166729,0.331165711910429,3.51336697860373e-23,1.2954395070456e-20,"ENSG00000137843.12","PAK6","up_regulated"
4347.70006661111,1.48430229063328,0.157921303989044,3.33474098343399e-22,1.08770272730815e-19,"ENSG00000155850.8","SLC26A2","up_regulated"
264.823165325084,1.62127468661403,0.175164823321936,1.20467451842888e-21,3.78379342723561e-19,"ENSG00000112320.12","SOBP","up_regulated"
2808.71483152397,1.21329927133877,0.134400025535778,1.20021036952024e-20,3.50978759955738e-18,"ENSG00000064961.19","HMG20B","up_regulated"
245.670667643645,1.23310530612926,0.140317625798726,1.00420629516453e-19,2.74715209230414e-17,"ENSG00000170153.11","RNF150","up_regulated"
1908.59611766881,1.39893578679975,0.160469372427911,1.75736637037392e-19,4.58564477044801e-17,"ENSG00000114251.15","WNT5A","up_regulated"
2097.53825315932,1.26281208419813,0.144962639463295,1.96323038644275e-19,5.04520463400841e-17,"ENSG00000234745.12","HLA-B","up_regulated"
155.938504014567,1.88304546209931,0.216307008485139,2.03915174235154e-19,5.16209741821261e-17,"ENSG00000179163.12","FUCA1","up_regulated"
126.835776078182,2.09618517816038,0.243236339004469,3.37014215005606e-19,8.28420014595664e-17,"ENSG00000108821.14","COL1A1","up_regulated"
820.662092289359,1.03041331694975,0.119495118448834,5.00719729632247e-19,1.21324390489893e-16,"ENSG00000137203.15","TFAP2A","up_regulated"
6601.96014056499,1.48236932331221,0.172570134134059,5.21636327717074e-19,1.24612306400131e-16,"ENSG00000104368.19","PLAT","up_regulated"
404.822490070119,1.17444152161526,0.137565967121723,9.81795873147985e-19,2.31281108395319e-16,"ENSG00000116991.11","SIPA1L2","up_regulated"
495.592027874783,1.60647930478849,0.194606146991226,8.58152550507831e-18,1.67300292059349e-15,"ENSG00000156453.14","PCDH1","up_regulated"
51.6611723318199,2.78691214890463,0.341627780155302,1.81814178074233e-17,3.46488794867085e-15,"ENSG00000105929.16","ATP6V0A4","up_regulated"
434.514470049336,1.10047736886719,0.136194353999825,4.3808993471856e-17,7.90472700293777e-15,"ENSG00000185565.12","LSAMP","up_regulated"
77.6549676884116,1.96352592056992,0.244940204192378,6.19087729786909e-17,1.10529968262271e-14,"ENSG00000149295.14","DRD2","up_regulated"
258.86711541901,2.53765030493325,0.31882961556107,8.41126076817593e-17,1.47075663803126e-14,"ENSG00000184564.11","SLITRK6","up_regulated"
184.680174200144,1.62035403983146,0.204477110633913,1.29725977622103e-16,2.20028230644849e-14,"ENSG00000204642.14","HLA-F","up_regulated"
69.1892390308963,1.95896675753657,0.247566822556494,1.7060334074135e-16,2.8649537250634e-14,"ENSG00000232629.9","HLA-DQB2","up_regulated"
354.344020457717,1.22789177304715,0.158096253622621,5.38427062240271e-16,8.61534094590305e-14,"ENSG00000183421.12","RIPK4","up_regulated"
127.203688266971,2.22504348290743,0.288830296835826,6.16866454204258e-16,9.68765919422076e-14,"ENSG00000261115.6","TMEM178B","up_regulated"
746.589441867393,2.00168521549086,0.261627008678184,1.06667968924931e-15,1.64472310994159e-13,"ENSG00000197632.9","SERPINB2","up_regulated"
403.915794792403,1.04459494269616,0.13633851348505,1.28383425015997e-15,1.96172186639309e-13,"ENSG00000144647.6","POMGNT2","up_regulated"
1392.00469598369,1.16890237391595,0.153129417385916,1.55225302394496e-15,2.35069317313665e-13,"ENSG00000065923.10","SLC9A7","up_regulated"
625.499074739985,1.75118676931039,0.230386525724302,1.68769216154839e-15,2.53318112849754e-13,"ENSG00000105329.11","TGFB1","up_regulated"
157.281656361808,1.86796442455858,0.24982428406219,4.10443213321134e-15,5.95002336849551e-13,"ENSG00000104081.14","BMF","up_regulated"
86.037436565975,1.90699034326861,0.254658706861341,4.14463318084214e-15,5.95738333731047e-13,"ENSG00000146411.6","SLC2A12","up_regulated"
829.113867481846,1.36910280522343,0.18307136488786,4.72041949703919e-15,6.72798614195644e-13,"ENSG00000095752.7","IL11","up_regulated"
