"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_REGULATION_OF_CELL_SIZE","GOBP_REGULATION_OF_CELL_SIZE","8/201","145/11404",0.00412171151849726,0.101946588090491,0.0895422211185294,"TRPV4/EDN1/SEMA7A/SEMA3D/FGF13/IL7R/RTN4R/RAP1GAP2",8
"GOBP_PROSTATE_GLAND_MORPHOGENESIS","GOBP_PROSTATE_GLAND_MORPHOGENESIS","3/201","19/11404",0.00424432831886525,0.102388379063117,0.0899302571058054,"SOX9/AR/FOXA1",3
"GOBP_REGULATION_OF_AMINO_ACID_TRANSPORT","GOBP_REGULATION_OF_AMINO_ACID_TRANSPORT","3/201","19/11404",0.00424432831886525,0.102388379063117,0.0899302571058054,"SV2A/RGS2/ADORA1",3
"GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS","GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS","9/201","178/11404",0.00427168721252576,0.102388379063117,0.0899302571058054,"SOX9/ST8SIA2/EDN1/SEMA7A/FGF1/SEMA3D/FGF13/COBL/RTN4R",9
"GOBP_EAR_DEVELOPMENT","GOBP_EAR_DEVELOPMENT","8/201","147/11404",0.00447672254321901,0.106207958295757,0.0932850884408686,"GABRB2/SOX9/LRIG1/EDN1/MCOLN3/FRZB/ATP8B1/LGR5",8
"GOBP_REGULATION_OF_TRANSPORTER_ACTIVITY","GOBP_REGULATION_OF_TRANSPORTER_ACTIVITY","9/201","181/11404",0.00476344029256274,0.111868673537458,0.0982570352745531,"DAPK1/EDN1/RNF207/CTSS/FGF13/JPH2/FHL1/RYR2/HSPA2",9
"GOBP_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION","GOBP_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION","3/201","20/11404",0.00492915371123713,0.113468142362637,0.0996618884815011,"RNF207/SCN5A/RYR2",3
"GOBP_INNERVATION","GOBP_INNERVATION","3/201","20/11404",0.00492915371123713,0.113468142362637,0.0996618884815011,"GABRB2/LRIG1/EDN1",3
"GOBP_NEGATIVE_REGULATION_OF_GROWTH","GOBP_NEGATIVE_REGULATION_OF_GROWTH","9/201","184/11404",0.00529819982823649,0.120022355628322,0.105418616828045,"HSPA1A/RGS2/SEMA7A/MT1G/FRZB/SEMA3D/FGF13/FHL1/RTN4R",9
"GOBP_CELLULAR_RESPONSE_TO_INTERLEUKIN_1","GOBP_CELLULAR_RESPONSE_TO_INTERLEUKIN_1","5/201","64/11404",0.00531711941063103,0.120022355628322,0.105418616828045,"SOX9/EDN1/ANKRD1/GBP1/IL1R1",5
"GOBP_POSITIVE_REGULATION_OF_BLOOD_CIRCULATION","GOBP_POSITIVE_REGULATION_OF_BLOOD_CIRCULATION","3/201","21/11404",0.00567683631050626,0.122657945049868,0.107733520496545,"EDN1/RGS2/RYR2",3
"GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_10_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_10_PRODUCTION","3/201","21/11404",0.00567683631050626,0.122657945049868,0.107733520496545,"CD274/INAVA/TSLP",3
"GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_MEDIATED_BY_A_CHEMICAL_SIGNAL","GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_MEDIATED_BY_A_CHEMICAL_SIGNAL","3/201","21/11404",0.00567683631050626,0.122657945049868,0.107733520496545,"RPS6KA2/EDN1/AGTR1",3
"GOBP_POSITIVE_REGULATION_OF_SECRETION","GOBP_POSITIVE_REGULATION_OF_SECRETION","9/201","186/11404",0.00567980195604481,0.122657945049868,0.107733520496545,"RAB15/EDN1/AACS/ANKRD1/ADORA1/MYH10/CD33/SPINK1/TTN",9
