"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_PARAXIAL_MESODERM_DEVELOPMENT","GOBP_PARAXIAL_MESODERM_DEVELOPMENT",14,0.844795064186335,1.63322126068983,0.00971247998666036,0.258107701681429,0.245184256833122,1021,"tags=29%, list=6%, signal=27%","WNT5A/SMAD3/POGLUT1/SMAD2"
"GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY_PLANAR_CELL_POLARITY_PATHWAY","GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY_PLANAR_CELL_POLARITY_PATHWAY",12,0.862455859378096,1.62070374447958,0.00971247998666036,0.258107701681429,0.245184256833122,361,"tags=17%, list=2%, signal=16%","DACT1/SFRP1"
"GOBP_REGULATION_OF_MRNA_PROCESSING","GOBP_REGULATION_OF_MRNA_PROCESSING",126,-0.572013390326605,-1.56890977736355,0.0100489050030466,0.265458573830481,0.252167071035098,2311,"tags=30%, list=14%, signal=26%","SRPK2/SRSF2/NCL/SRRM1/HSPA8/HNRNPK/SRSF10/PTBP1/SLTM/SNW1/KHDRBS2/SRSF9/THRAP3/CDC73/RBM39/PAPOLA/CCNT1/RBM8A/DDX5/TRA2A/FMR1/NCBP1/HNRNPA1/DAZAP1/RBM25/DHX9/REST/CPSF6/SRPK1/MAGOH/RBM24/RBMX/CELF1/ZC3H14/HNRNPU/PRDX6/SF3B4/CPEB1"
"GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND","GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND",18,0.86059383763429,1.741021059699,0.0101369532474879,0.266199991197346,0.252871365656738,1166,"tags=44%, list=7%, signal=41%","WNT5A/MEGF8/ACVR1/CTNNB1/LDB1/TENM4/ACVR2A/ACVR2B"
"GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION","GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION",71,0.716849917902524,1.69876154506573,0.010469994832621,0.273328453336306,0.259642905911128,198,"tags=8%, list=1%, signal=8%","HLA-DRA/HLA-DRB1/CD74/RUNX3/BTN2A2/ADA"
"GOBP_HISTONE_H3_K9_DEMETHYLATION","GOBP_HISTONE_H3_K9_DEMETHYLATION",13,-0.846640361176431,-1.66205902998951,0.010825794620513,0.280964190209572,0.266896321669158,210,"tags=23%, list=1%, signal=23%","JMJD1C/KDM1A/KDM7A"
"GOBP_NEGATIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION","GOBP_NEGATIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION",10,0.876099738708541,1.61147820288497,0.0109372568387919,0.282206661921852,0.26807658286023,457,"tags=30%, list=3%, signal=29%","EFNB2/KLF9/CD109"
"GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY","GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY",50,-0.691486622232483,-1.67308596574653,0.0113801411511822,0.291936800167321,0.277319533376846,1103,"tags=18%, list=7%, signal=17%","GCLC/RTL10/PPIF/BOK/MOAP1/SLC25A4/PMAIP1/BID/HSPA1A"
"GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION","GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION",35,0.789299529575146,1.74469062609061,0.011607249698135,0.29605157563404,0.281228282159895,690,"tags=17%, list=4%, signal=16%","HLA-DRB1/CD74/CIITA/MID2/IFITM3/TRIM62"
"GOBP_RESPONSE_TO_OSMOTIC_STRESS","GOBP_RESPONSE_TO_OSMOTIC_STRESS",60,-0.659375104801219,-1.63722997205762,0.0117796965954588,0.298733105660834,0.283775548059022,74,"tags=10%, list=0%, signal=10%","SORD/HSP90AB1/STK39/TRPV4/ERRFI1/PAPPA2"
"GOBP_REGULATION_OF_B_CELL_APOPTOTIC_PROCESS","GOBP_REGULATION_OF_B_CELL_APOPTOTIC_PROCESS",16,0.849622034484321,1.69153317883516,0.0121052698317021,0.305245383597123,0.289961756435208,198,"tags=12%, list=1%, signal=12%","CD74/ADA"
"GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS","GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS",146,-0.547277211259592,-1.51615827861951,0.0122309349731074,0.306671691585596,0.291316649225662,1406,"tags=21%, list=8%, signal=19%","HIBCH/SLC25A21/SLC39A8/ASNS/TST/GCLC/MTRR/SEPHS1/AADAT/MTAP/DLST/GCLM/HIBADH/GOT2/GLYATL1/PSPH/AASS/GPT2/RIMKLA/CTPS1/SCLY/DDO/ADSS2/PSAT1/ODC1/DDAH1/GLUL/ATF4/RIMKLB/SHMT2"
"GOBP_FACE_DEVELOPMENT","GOBP_FACE_DEVELOPMENT",43,0.765725990709002,1.73485322832087,0.0123053625692926,0.306804489227644,0.291442797693773,709,"tags=16%, list=4%, signal=16%","MMP2/WNT5A/COL1A1/ALDH1A3/RRAS/TGFB3/CSRNP1"
"GOBP_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY","GOBP_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY",35,0.785688449405951,1.73670858950604,0.0125058634618972,0.308013688441588,0.292591452339499,1083,"tags=29%, list=6%, signal=27%","DRD2/SYNGR1/PPFIA3/APP/GRIK2/SHANK3/EGR2/SNCA/SYP/ARC"
"GOBP_POSITIVE_REGULATION_OF_VIRAL_PROCESS","GOBP_POSITIVE_REGULATION_OF_VIRAL_PROCESS",52,0.737103148228635,1.69620824328684,0.0125620724668606,0.308013688441588,0.292591452339499,373,"tags=10%, list=2%, signal=9%","HLA-DRB1/CD74/PPARA/ADARB1/IFIT1"
