"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY","GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY","22/219","168/11404",9.74320164166605e-13,2.13944469381584e-10,1.63326827519507e-10,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-DQB2/TGFB1/C1R/HLA-DOA/TRPM4/C1RL/HLA-DOB/CD70/IL6",22
"GOBP_ADAPTIVE_IMMUNE_RESPONSE","GOBP_ADAPTIVE_IMMUNE_RESPONSE","25/219","246/11404",8.23504849904712e-12,1.66918098422994e-09,1.27426539932624e-09,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-DQB2/TGFB1/C1R/RORA/HLA-DOA/TRPM4/ADA/C1RL/TNFRSF11A/HLA-DOB/CD70/IL6",25
"GOBP_IMMUNOGLOBULIN_PRODUCTION_INVOLVED_IN_IMMUNOGLOBULIN_MEDIATED_IMMUNE_RESPONSE","GOBP_IMMUNOGLOBULIN_PRODUCTION_INVOLVED_IN_IMMUNOGLOBULIN_MEDIATED_IMMUNE_RESPONSE","13/219","54/11404",1.87240634589267e-11,3.52413622959084e-09,2.69035227594052e-09,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-DQB2/TGFB1/HLA-DOA/HLA-DOB",13
"GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","19/219","146/11404",4.14292606870157e-11,7.27774012735242e-09,5.55588190686926e-09,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/HLA-DQB2/HES1/HLA-DOA/ADA/HLA-DOB/CD70/TNFSF9/IL6",19
"GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE","19/219","147/11404",4.67812407419612e-11,7.70428558469174e-09,5.88150993801894e-09,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/WNT5A/HLA-F/HLA-DQB2/TGFB1/HLA-DOA/TRPM4/HLA-DOB/IL6",19
"GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","20/219","174/11404",1.2355604515354e-10,1.91511869987987e-08,1.46201611324096e-08,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/WNT5A/HLA-DQB2/HES1/HLA-DOA/ADA/HLA-DOB/CD70/TNFSF9/IL6",20
"GOBP_IMMUNOGLOBULIN_PRODUCTION","GOBP_IMMUNOGLOBULIN_PRODUCTION","15/219","91/11404",1.66593544211484e-10,2.31134586168378e-08,1.7644989280646e-08,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-E/HLA-DQB2/TGFB1/HLA-DOA/HLA-DOB/IL6",15
"GOBP_LEUKOCYTE_MEDIATED_IMMUNITY","GOBP_LEUKOCYTE_MEDIATED_IMMUNITY","22/219","217/11404",1.66662509950633e-10,2.31134586168378e-08,1.7644989280646e-08,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-DQB2/TGFB1/C1R/HLA-DOA/TRPM4/C1RL/HLA-DOB/CD70/IL6",22
"GOBP_IMMUNE_EFFECTOR_PROCESS","GOBP_IMMUNE_EFFECTOR_PROCESS","27/219","337/11404",2.83906095983567e-10,3.74046281458349e-08,2.8554976285505e-08,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/WNT5A/HLA-B/HLA-F/HLA-DQB2/TGFB1/C1R/RORA/HLA-DOA/TRPM4/PTPRJ/ADA/C1RL/MFNG/HLA-DOB/CD70/IL6",27
"GOBP_REGULATION_OF_CELL_CELL_ADHESION","GOBP_REGULATION_OF_CELL_CELL_ADHESION","24/219","273/11404",4.57939765844371e-10,5.74605372857103e-08,4.38658091493029e-08,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/WNT5A/HLA-DQB2/TGFB1/HES1/PPARA/HLA-DOA/ADA/MDGA1/HLA-DOB/CD70/TNFSF9/IL6/ABAT",24
"GOBP_REGULATION_OF_CELL_ACTIVATION","GOBP_REGULATION_OF_CELL_ACTIVATION","27/219","367/11404",1.88004475497327e-09,2.25178087697935e-07,1.71902656782485e-07,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/WNT5A/HLA-F/HLA-DQB2/TGFB1/HES1/RORA/HLA-DOA/ACTA2/ADA/NFATC2/HLA-DOB/CD70/TNFSF9/IL6/CD38/ABAT",27
"GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION","GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION","23/219","280/11404",4.04278419151486e-09,4.63162449767028e-07,3.53581720365441e-07,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/HLA-F/HLA-DQB2/TGFB1/HES1/HLA-DOA/ADA/NFATC2/HLA-DOB/CD70/TNFSF9/IL6/CD38",23
"GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","20/219","221/11404",8.54643170872469e-09,9.38326981353732e-07,7.16325920849688e-07,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/HLA-DQB2/HES1/PPARA/HLA-DOA/ADA/HLA-DOB/CD70/TNFSF9/IL6",20
"GOBP_REGULATION_OF_T_CELL_ACTIVATION","GOBP_REGULATION_OF_T_CELL_ACTIVATION","19/219","200/11404",9.23936923905758e-09,9.73829517796669e-07,7.43428825930065e-07,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/HLA-DQB2/HES1/HLA-DOA/ADA/HLA-DOB/CD70/TNFSF9/IL6",19
"GOBP_REGULATION_OF_CELL_ADHESION","GOBP_REGULATION_OF_CELL_ADHESION","30/219","496/11404",2.16117637772842e-08,2.19026913665938e-06,1.67206803961093e-06,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/MMP2/CD74/HLA-DMB/HLA-DMA/HLA-E/WNT5A/COL1A1/HLA-DQB2/TGFB1/HES1/ERBB3/PPARA/HLA-DOA/PLXNB3/PTPRJ/LAMA4/ADA/MDGA1/HLA-DOB/CD70/TNFSF9/IL6/ABAT",30
"GOBP_LYMPHOCYTE_ACTIVATION","GOBP_LYMPHOCYTE_ACTIVATION","28/219","454/11404",4.42986530420223e-08,4.32322039873069e-06,3.30037917985593e-06,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/EGR1/HLA-F/HLA-DQB2/TGFB1/IL11/HES1/RORA/HLA-DOA/PTPRJ/ADA/NFATC2/MFNG/HLA-DOB/CD70/TNFSF9/IL6/CD38",28
