"gene_id","gene_name","ARID2KO1","ARID2KO2","ARID2KO3","ARID2KO4","ARID2NT1","ARID2NT2","ARID2NT3","ARID2NT4"
"ENSG00000287309.1","AL583859.3",0,0,0,0,0,0,0,0
"ENSG00000287310.1","AL133445.3",0,0,0,0,0,0,0,0
"ENSG00000287311.1","AC140121.1",0,0,0,0,0,0,0,0
"ENSG00000287312.1","AC127526.4",0,0,0,0,0,0,0,0
"ENSG00000287313.1","AC016995.1",1,0,0,0,0,0,1,0
"ENSG00000287314.1","AC090125.2",0,0,0,0,0,0,0,0
"ENSG00000287315.1","AL670729.3",0,0,0,0,0,0,0,0
"ENSG00000287316.1","AC007391.3",0,0,2,0,0,0,0,0
"ENSG00000287317.1","AC016769.6",0,0,0,0,0,0,0,0
"ENSG00000287318.1","AL353730.1",0,0,0,0,0,0,0,0
"ENSG00000287319.1","AC079822.1",0,0,0,0,0,0,0,0
"ENSG00000287320.1","AC110790.1",0,0,0,0,0,0,1,0
"ENSG00000287321.1","AC026523.4",0,0,0,0,0,0,0,0
"ENSG00000287322.1","AC068189.2",0,0,0,0,0,0,0,0
"ENSG00000287323.1","AC022100.1",0,0,0,0,0,0,0,0
"ENSG00000287324.1","AL096828.6",0,0,0,0,0,0,0,0
"ENSG00000287325.1","AC138647.2",0,0,0,0,0,0,0,0
"ENSG00000287326.1","AL589787.1",0,0,0,0,0,0,0,0
"ENSG00000287327.1","AL731769.1",0,1,0,0,0,0,0,0
"ENSG00000287328.1","AC135626.2",0,0,0,0,0,0,0,0
"ENSG00000287329.1","FP326651.1",0,0,1,1,2,0,2,2
"ENSG00000287330.1","AL353697.1",0,0,0,0,0,0,0,0
"ENSG00000287331.1","AC106045.1",0,0,0,0,0,0,0,0
"ENSG00000287332.1","AC103758.1",0,0,0,0,0,0,0,0
"ENSG00000287333.1","AL161447.2",0,0,0,0,0,0,0,0
"ENSG00000287334.1","AC102941.2",0,0,0,0,0,0,0,0
"ENSG00000287335.1","AL139351.3",0,0,5,1,2,0,0,1
"ENSG00000287336.1","AL137157.1",0,0,0,0,0,0,0,0
"ENSG00000287337.1","AC005962.2",0,1,0,0,0,0,2,0
"ENSG00000287338.1","AL929091.1",0,0,0,0,0,0,0,0
"ENSG00000287339.1","AC079949.6",0,2,1,0,61,0,0,65
"ENSG00000287340.1","AC007222.2",0,0,0,0,0,0,0,0
"ENSG00000287342.1","AC188616.1",1,1,0,0,1,0,0,0
"ENSG00000287343.1","AL022397.1",0,0,0,0,0,0,0,0
"ENSG00000287344.1","AC079304.1",0,0,0,0,0,0,0,0
"ENSG00000287345.1","AC183088.4",0,0,0,0,0,0,0,0
"ENSG00000287346.1","AL132712.2",0,0,0,0,0,0,0,0
"ENSG00000287347.1","AL133405.2",0,0,0,0,0,0,0,0
"ENSG00000287348.1","AC099535.2",0,0,0,0,0,0,0,0
"ENSG00000287349.1","AC108477.2",0,0,0,0,0,0,0,0
"ENSG00000287350.1","AL137786.2",0,0,0,0,0,0,0,0
"ENSG00000287351.1","AC092120.3",0,0,0,0,0,0,0,0
"ENSG00000287352.1","AC011029.1",0,0,0,0,0,0,0,0
"ENSG00000287353.1","AC135776.5",0,0,0,0,0,0,0,0
"ENSG00000287354.1","AL034351.4",0,0,0,0,0,0,0,0
"ENSG00000287355.1","AL451123.2",0,0,0,0,0,0,0,0
"ENSG00000287356.1","AL590822.3",0,4,3,11,3,1,2,3
"ENSG00000287357.1","AL512484.1",0,0,0,0,0,0,0,0
"ENSG00000287358.1","AL096706.1",0,0,0,0,0,0,0,0
"ENSG00000287359.1","AL138740.1",0,0,0,0,0,0,0,0
"ENSG00000287360.1","AC006296.3",0,0,0,0,0,3,0,0
"ENSG00000287361.1","AL355537.2",0,0,0,0,0,0,0,0
"ENSG00000287362.1","AC103563.9",7.039,3.051,7.149,3.036,2.016,10.688,9.233,8.036
"ENSG00000287363.2","AL096814.2",0,0,0,0,0,0,0,0
"ENSG00000287364.1","AL353709.1",0,0,0,0,0,0,0,0
"ENSG00000287365.1","AC068787.4",0,0,0,0,0,0,0,0
"ENSG00000287366.1","AC072026.3",0,0,0,0,0,0,0,0
"ENSG00000287367.1","AC016583.2",1,1,0,0,1,0,0,0
"ENSG00000287368.1","AL589645.1",0,0,0,0,0,0,0,0
"ENSG00000287369.1","AC111197.1",0,0,0,0,0,0,0,0
"ENSG00000287370.1","AL356317.1",0,0,0,0,0,0,0,1
"ENSG00000287372.1","AL627316.1",0,0,0,0,0,0,0,0
"ENSG00000287373.1","AL122014.1",1,0,0,3,0,0,2,0
"ENSG00000287374.1","AC239860.4",0,0,0,0,0,0,0,0
