"gene_id","ARID2KO1","ARID2KO2","ARID2KO3","ARID2KO4","ARID2NT1","ARID2NT2","ARID2NT3","ARID2NT4"
"ENSG00000000003.15",9.81861258772688,9.82319244940765,9.51221634964707,9.80339573128509,9.80564487286768,10.0856216603021,9.8167509334505,9.85224829513019
"ENSG00000000419.13",11.4457675267449,11.6594487182235,11.0391352684119,11.2125714964712,11.3525893888777,11.6006839217906,11.4578669658259,11.3968303766213
"ENSG00000000457.14",8.41666541623729,8.42059871970635,8.48804915006534,8.59685420788344,8.43115335789332,8.71581879387345,8.70964793704695,8.4757567523995
"ENSG00000000460.17",9.28123675422597,9.08826438611575,9.16789816623549,9.18436026208935,9.23087510541455,10.0172968148463,9.77606471591439,9.27695625268496
"ENSG00000000971.16",6.93306833021289,6.96250308610742,6.99977219569129,7.15243913425953,7.12902693683028,7.02110490556434,7.17439998791011,7.05044745914884
"ENSG00000001036.14",11.4413875575986,11.4221098672511,11.4089125417741,11.4731631273756,11.2849142532633,11.6735121232732,11.442860284157,11.2644817858219
"ENSG00000001084.13",8.7704667300556,8.68971371087504,8.7947580540528,8.83078414658343,9.13681237185364,8.99134896195605,8.89274649534815,9.05960133342454
"ENSG00000001167.14",11.4987188094053,11.5287933161924,11.4949105538758,11.5576295925178,11.3447088752365,11.6913798331131,11.5025064828661,11.446795133753
"ENSG00000001460.18",8.26460330157742,8.1649978795697,8.2098346767259,8.27381935466762,8.36048326790157,8.27291153829726,8.10949716297653,8.270772104886
"ENSG00000001461.17",10.7125166377993,10.7088100485147,10.8902813286918,10.9090103278413,10.8827129227238,10.6224693615078,10.4777002267795,10.8831386147892
"ENSG00000001497.18",10.8346726687421,10.799509857284,10.7864221166649,10.7459594345898,10.6821041724992,10.831572648565,10.9340544552565,10.7220909891623
"ENSG00000001561.7",8.06358496201083,8.205116931365,8.90758081090752,9.04607813106848,8.94951072090552,9.38843559450086,9.1011376691353,9.03628628419063
"ENSG00000001629.10",10.7973904257292,10.9088288815215,10.787907040631,10.9216124431327,10.9119056107618,10.9001443999554,10.8257928090153,11.0534060763917
"ENSG00000001630.17",10.3957297257327,10.4866094269239,10.2812306244743,10.2969089885297,11.1861389679313,11.1502590630152,10.7345326712969,11.2635120246492
"ENSG00000001631.16",9.75814777726447,9.784814509885,9.73908530496929,9.72863291453963,9.60641695693491,9.79832594523614,9.40406270289938,9.74253519739491
"ENSG00000002016.18",9.08721301747505,8.72704258494081,8.82540064671904,8.78385070026726,8.75816251008268,8.76654799853059,8.929818242079,8.79453007838743
"ENSG00000002079.14",8.71023480103244,8.68592056235926,8.23446652929459,8.19396825506941,8.835303343626,8.46768890185749,8.43401920816422,8.86326218122327
"ENSG00000002330.14",9.20549608417855,9.24664620617071,9.36406079305335,9.0710472290526,9.14343670515558,8.76298959733465,9.15278044966593,8.95133231855963
"ENSG00000002549.12",10.610607840629,10.7211234432505,10.7571543290713,10.6412858987428,10.5549446319333,10.8120647705146,10.8050415402473,10.5723767028631
"ENSG00000002586.20",10.2422657883596,10.32511666804,10.373383090086,10.2410026689782,10.3729747065896,10.19686065668,10.3495082324561,10.3102524926262
"ENSG00000002587.10",7.58966580243241,7.55659365891205,7.52531624290182,7.46402825539392,7.36525982670771,7.3992096234096,7.67508324133364,7.60980014702582
"ENSG00000002746.15",7.35690678244648,7.47671159899291,7.81203835242163,7.75061582044473,7.16268209856835,7.34377023762685,7.3786037546845,7.08966136696667
"ENSG00000002822.15",9.39680973921743,9.39080992566741,9.56941973017279,9.48507026058112,9.67402181788904,9.32664606424966,9.69858522276672,9.57514650851027
"ENSG00000002834.18",12.5430540366821,12.5337899698498,12.5798849484887,12.3723128553511,13.3478025987249,12.8630194046936,12.8132468077851,13.2285798325483
"ENSG00000002919.15",9.34023611541873,9.48407664872117,9.40999991797686,9.29363159487602,9.49162074439266,9.37945452896482,9.25314434630382,9.39395144964032
"ENSG00000003056.8",13.4069144242784,13.4364940062415,13.3712192700851,13.3354592648537,13.0246648774613,13.6267426028657,13.3625418023858,13.0620382585554
"ENSG00000003096.14",8.50434871364393,8.39209667563042,8.7377175026024,8.63573615491483,8.99700368807213,9.27172810591219,9.05351496190486,9.12721980327681
"ENSG00000003137.8",7.41332967658419,7.37361145218476,7.47352435226343,7.55341133617054,7.32979057840757,7.74779651886656,7.59152142383438,7.2616056606439
"ENSG00000003147.19",8.12357535821901,8.19947116305877,8.300784759206,8.16040744849448,8.07316546359468,8.22981014789321,8.35303306369092,8.03784035947987
"ENSG00000003249.15",9.46294967982169,9.36361830240299,9.36406079305335,9.30525140228403,9.09637098751772,9.09233205724864,9.3145134642278,8.91061617002564
"ENSG00000003393.15",10.3774260806394,10.3053396028589,10.4230757157593,10.4057217664981,10.4923419908522,10.2560343406365,10.2970601961239,10.5138768148584
"ENSG00000003400.15",7.1194737951274,7.16048075547688,7.27704459158096,6.95746635817843,7.36525982670771,7.15936388150754,7.58047559304813,7.39379050836894
"ENSG00000003402.20",10.3835534220007,10.4222459303952,10.4240329931559,10.4959363255654,10.7156303501924,10.4467543528797,10.5811452412188,10.8742619293698
"ENSG00000003436.16",10.3697297096234,10.4658245463978,10.6254229215878,10.727488002169,10.2285859142206,10.7208372595075,10.5429635600175,10.4639349205315
"ENSG00000003509.16",9.93227350608426,9.94002478551002,9.8651328154026,9.85736043821641,9.8671075563522,10.005822095305,9.9935123263239,9.94308073194031
"ENSG00000003756.17",11.5746631968125,11.3549858372076,11.5846094725332,11.6193553254011,11.5420359327511,11.2734996952344,11.4759984632826,11.6282948149687
"ENSG00000003989.18",9.93646747051802,9.88123875416966,9.34771642081484,9.44173672453191,9.34762820208202,10.5778751519668,10.2257263612927,9.36654447848429
"ENSG00000004059.11",9.45115688087573,9.49868282098242,9.43530545043697,9.40778607814157,9.34001886809498,9.02974897447955,9.30950293423761,9.23901122725668
"ENSG00000004139.14",9.94689825482212,9.83629980017972,10.0067317586346,9.89120913100194,10.1081342700292,9.75427011761156,9.97959803766287,10.0444406516052
"ENSG00000004142.12",11.6725585967067,11.6721562437085,11.5461615248276,11.4498438184148,11.6388102810489,11.5239745353637,11.695831465079,11.5378004959183
"ENSG00000004399.13",7.1194737951274,7.19888662604266,7.68850931049519,7.90596873926413,7.82251314942786,7.41239847207032,7.39297804685744,7.7537000352899
"ENSG00000004455.17",12.3268208885104,12.3602374452696,12.37225463011,12.3467644327761,12.3023101455937,12.5895415043894,12.4456944409177,12.2966051932711
"ENSG00000004478.8",11.9311864708342,11.9906924657823,11.8978971732116,11.7185309012271,12.1480162757568,12.2136506249535,12.2547697573487,12.0484512772992
"ENSG00000004487.17",11.7057947960278,11.7349297867011,11.700065592603,11.7537185749295,12.0264799778686,12.0688175241762,11.9752721064118,12.0274906072623
"ENSG00000004534.15",11.9681700927921,11.958460568944,11.9678472616787,11.7499893250391,11.9082707863468,11.8939673789023,12.0759042794352,11.9316426837597
"ENSG00000004660.15",8.27195470347041,8.02865630740498,7.96599125708561,8.03432295036394,7.82910006255525,7.55467562151581,7.87988460107194,7.7395854832061
"ENSG00000004700.16",12.1677029253338,12.2712153851927,12.1328156363518,12.279690767942,12.0423160528417,12.3305114652154,12.1635438196948,12.1038927031569
"ENSG00000004766.17",9.19483443872343,9.19328574209308,9.22526849969807,9.28895597988731,9.44113783787266,9.41503357601179,9.19436356297209,9.53160536904551
"ENSG00000004777.18",8.9404212461666,8.49350715452027,8.68143455477973,8.65850716202266,8.23252994162252,8.25156019298415,8.94633249058949,8.24027202068216
"ENSG00000004779.10",10.1570591708783,10.3193283175527,10.037199549437,10.1877516293376,10.0712712190858,10.4254695970311,10.3954646259484,9.95039287679018
"ENSG00000004799.8",6.63636443531989,6.78246640374934,7.30504378033287,7.13239397196233,7.0735137641012,7.09563933026075,7.13172138886773,7.08966136696667
"ENSG00000004864.14",9.82315786874567,9.85412560031088,9.80721965874153,9.86976323621603,9.64675905221347,10.032924287398,9.90789584287383,9.72837680371162
"ENSG00000004866.22",9.2335262161165,9.356735782204,9.07827643990636,9.15367923699537,9.41609229429116,9.11984625933875,9.23736253443323,9.3794021742852
"ENSG00000004897.12",12.4083008725166,12.6024546946995,12.5161025907457,12.6661909904695,12.6497070585295,12.7257314358556,12.385691052205,12.7543792305613
"ENSG00000004961.15",10.2252863202311,10.3739496776382,10.2051935994647,10.2362431856968,10.3857337037069,10.5107908096411,10.2631129280519,10.4024888058111
"ENSG00000004975.12",9.81861258772688,9.68492635696841,9.66420598918415,9.54471954320648,9.64369680860269,9.13609012358122,9.44561261265979,9.53814243958041
"ENSG00000005007.13",11.3632697483535,11.1986589404311,11.3030027129382,10.98584068132,11.6007997036709,11.1002558179283,11.3277513352078,11.5176169164836
"ENSG00000005020.13",11.2567592737216,11.5061543368618,11.5115999460425,11.6369647128746,10.921921960087,10.6093306953517,10.3884900532026,11.0037147189303
"ENSG00000005022.6",12.8729072124785,12.9273629175477,12.774474721597,12.8334249611372,12.8286576041877,13.267513096713,13.1832557157375,12.7706584590913
"ENSG00000005059.16",10.1642094438863,10.3100177810792,10.0359430548643,10.1578425964721,10.332115428388,10.2953347958162,10.1859882520393,10.302685101437
"ENSG00000005075.15",8.78509772933739,8.82618178475952,8.71483905378561,8.68087946369154,8.65399783790002,8.83574935065277,8.83689536842101,8.55309452909193
"ENSG00000005100.13",11.1851834334154,11.1733203741105,11.0416246998319,11.0587676646225,11.1825012083297,11.3565207109651,11.317425109806,11.2420101186495
"ENSG00000005156.12",10.6681167267381,10.550173263857,10.5763819788741,10.6600097975512,10.7721309934328,10.7234513661616,10.7936746007868,10.721383581625
"ENSG00000005175.10",10.6261708599201,10.8484152209764,10.5789602276585,10.6268538664508,11.1620634076367,11.0643257356739,10.7839855241092,11.2989646657218
"ENSG00000005189.20",8.51638158367464,8.36290702010477,8.53070636562555,8.48544390277906,8.31515915321584,8.59174289986105,8.71357429877792,8.34170825632894
"ENSG00000005194.15",10.7708203594902,10.7246222049356,10.6435937080014,10.6412858987428,10.6865219123892,10.6382629915549,10.8128585004202,10.6247980477844
"ENSG00000005206.17",8.96603289866513,8.67830046486684,9.12019205526905,9.18436026208935,8.58514901135678,8.79467020443962,9.12145568923692,8.49733079800627
"ENSG00000005238.20",9.44224594635447,9.2214965104354,9.40014235684149,9.26533567120308,10.0217532053943,8.79118794577241,8.84400778226682,9.81260417849128
"ENSG00000005243.10",7.39502955631604,7.55659365891205,7.40625095505677,7.33448519005533,7.42053721520164,7.34377023762685,7.67508324133364,7.54122141329961
"ENSG00000005249.13",9.88529882354918,10.0281378001642,9.79236142887992,9.80662801889487,9.95332529389801,10.1390559723837,9.65426931756307,10.0478487868539
"ENSG00000005302.19",10.0985230324371,10.0839746561442,10.1586942187601,10.2314677322705,10.2665714204251,10.0172968148463,10.0254568386677,10.2247140465853
"ENSG00000005339.15",11.402858750079,11.3499077766162,11.4242427100699,11.4256207418988,11.2184710705902,11.38426211102,11.3319818565865,11.2799096773146
"ENSG00000005379.17",7.75898201246452,7.75008365702745,8.41490068857835,8.51107540317646,7.76111701659784,8.09601943252148,8.39925219829459,7.62610130333326
"ENSG00000005436.14",10.1372083320457,10.3537110532261,10.1644469850357,10.3982947697255,9.56000067293602,10.3573945648816,10.1670567939008,9.73830265103417
"ENSG00000005448.17",8.95755031506615,9.04848201877278,9.08327576686922,8.98594475751392,9.13015550177879,8.74143183055038,9.17788260909555,8.95882965119382
"ENSG00000005469.12",8.41666541623729,8.40643132271678,8.42324746250138,8.34373444700305,8.38845842595151,8.29906541206066,8.33722290140807,8.46482669503587
"ENSG00000005471.19",7.80535060471122,7.95347525005067,8.14319542577817,8.14899616293851,8.22801468467253,8.08359483064516,8.03600661463764,8.34575189956282
"ENSG00000005483.21",10.8324405220732,10.8411848926372,10.9190118344045,10.9587681571658,10.9106486370869,10.8226644672361,10.6984022955371,11.0336215326326
"ENSG00000005486.17",8.49828826954968,8.40643132271678,8.52688831553951,8.48544390277906,8.62494714032743,8.37908304877843,8.4960793705938,8.43893885402132
"ENSG00000005700.15",10.4681251742905,10.6195180825428,10.7014990931369,10.756763496035,10.6187804868413,10.742477126175,10.5770662877405,10.7971774541993
"ENSG00000005801.18",10.8413483395077,10.743714154946,10.6991325401513,11.0533910927339,10.8568359935862,11.1521976219832,11.1678717120704,11.0324827134128
"ENSG00000005810.18",11.7448099333933,11.7030007503821,11.7999910479913,11.9621744549287,11.6824753153035,11.6958123345002,11.6640828654885,11.8481539219793
"ENSG00000005812.11",10.5425087603307,10.7744170819381,10.5823906803382,10.7325493262101,10.5371029832831,10.8807731921571,10.5739994218195,10.5478260289375
"ENSG00000005882.12",8.5862418534625,8.39209667563042,8.71153734945521,8.70286818606848,8.15324552184787,7.81484268858946,8.19051808471425,8.13879491684422
"ENSG00000005884.18",14.0270744075655,13.8944629548038,14.2791027718496,14.0653354247082,14.0398202564303,13.607949404443,13.8656103609295,13.900308090531
"ENSG00000005889.16",11.1135338759795,11.1416592542243,11.0372653591252,11.1808829125281,10.9943031476926,11.1828641561352,10.957738492386,11.0916294157571
"ENSG00000005893.16",12.5166069153915,12.6109595876992,12.7185131572171,12.8847435002618,12.220156923993,12.6924274686053,12.2196861611583,12.2944730766113
"ENSG00000006007.12",10.584287334912,10.7574411647744,10.7533584541379,10.6466606183209,10.6553076535207,10.8210388357775,10.6203172446708,10.6383587604284
"ENSG00000006015.18",9.05199347976506,8.80556335367268,8.85534295163876,8.69558033628154,8.75816251008268,8.43116244085477,9.02287158243986,8.6097454480652
"ENSG00000006025.12",9.10257565112605,8.7047753333197,9.08825663220184,9.06553843383506,8.46500777365892,8.57946510001211,8.97233617851379,8.45748570267043
"ENSG00000006042.12",9.92595912723416,9.93699102554865,9.78487305473574,9.83854921879305,9.77527340461201,9.71056473313932,9.87482136788771,9.77594417733764
"ENSG00000006062.17",9.2019514639389,8.8958989917496,9.23645848131389,9.09556196393703,8.58514901135678,8.89182891634728,8.74838445725448,8.48659082339998
"ENSG00000006118.15",10.4047942528069,10.1070554349554,9.85659611562821,9.70800526135352,10.6164662905211,9.80664227470128,10.2995429176304,10.4417391848302
"ENSG00000006125.18",13.7389706539736,13.7460296587239,13.7729673030266,13.8183825128293,13.5854541291347,13.7278375969192,13.660639141551,13.6475214224931
